index,seed,mae,mae2,mse,rmse,Test Accuracy,AR,Precision,Recall,F1_score
PAGEIND,7,418.6504150390624,0.016523268280737555,298873.3253338717,546.6930814761347,52.5,50.22,0.5042016806722689,0.7792207792207793,0.6122448979591837
PETRONET,10,3.4781826102577447,0.01468665968598585,20.7005122712477,4.549781563025603,53.275,9.83,0.5161290322580645,0.7142857142857143,0.599250936329588
PFC,1,1.7206552164002797,0.017107678745575856,5.122972213097801,2.2633983770202275,56.332,4.47,0.5193798449612403,0.638095238095238,0.5726495726495726
PIDILITIND,2,11.305741729736331,0.011071649010853415,222.3806096578428,14.912431379820086,50.625,25.07,0.5436893203883495,0.6363636363636364,0.5863874345549738
PNB,3,3.865173273211483,0.031402655884789056,45.09090734583668,6.714976347377307,50.655,-49.88,0.4620253164556962,0.7227722772277227,0.5637065637065638
POWERGRID,5,1.56182793363213,0.007847305328903296,4.258336567038541,2.0635737367582827,56.769,-0.42,0.5192307692307693,0.5242718446601942,0.5217391304347825
PTC,10,1.6398053898040907,0.01665360307358935,4.714668505735255,2.1713287419769616,55.022,21.19,0.5166666666666667,0.5794392523364486,0.5462555066079295
RCOM,5,1.1113103658351313,0.057774969357922534,2.3201914856720274,1.5232174781271477,47.598,-33.99,0.4425287356321839,0.77,0.5620437956204379
RECLTD,4,3.214579952856339,0.023933324745971006,17.420630274561635,4.173802855258216,47.598,-1.31,0.4125874125874126,0.6210526315789474,0.49579831932773116
RELCAPITAL,8,10.313309661998499,0.022544625488242095,185.25941075262352,13.611003297061666,53.712,-50.77,0.5072463768115942,0.6481481481481481,0.5691056910569106
RELIANCE,2,11.24722564564001,0.011570663588114226,244.30174383961608,15.63015495251458,60.262,25.68,0.636986301369863,0.7099236641221374,0.6714801444043322
RELINFRA,7,8.712951446932996,0.01937709137968023,140.22497330021585,11.841662607092632,53.712,-6.7,0.524390243902439,0.7543859649122807,0.618705035971223
RPOWER,7,0.932180379675986,0.023872524415072694,1.925911883694292,1.3877722737157894,53.712,-15.49,0.5232558139534884,0.7894736842105263,0.6293706293706294
SAIL,1,1.8000575769416114,0.022744804237594993,5.493919212285871,2.343911093084776,53.712,13.21,0.5765765765765766,0.5203252032520326,0.5470085470085471
SBIN,5,4.448200449048172,0.015760410795650364,50.92936445176706,7.1364812374003375,55.895,4.78,0.5238095238095238,0.616822429906542,0.5665236051502146
SIEMENS,9,13.255740609647923,0.011743112358011171,284.5550550920369,16.86875973781229,51.528,18.4,0.5,0.5315315315315315,0.5152838427947599
SOUTHBANK,4,0.463936095237732,0.01902693339093049,0.42348147111000267,0.6507545398304976,51.25,-26.73,0.4144144144144144,0.7796610169491526,0.5411764705882354
SRF,7,33.26107528686524,0.01737202167286298,2262.463996060875,47.5653655095898,53.125,-17.18,0.52,0.5,0.5098039215686274
SRTRANSFIN,6,22.82325028998362,0.016599926843166114,1009.3215979109056,31.769822125893395,57.642,-1.65,0.6805555555555556,0.3983739837398374,0.5025641025641026
STAR,10,36.09355656804265,0.06125060280112396,10563.85784742405,102.78062972868015,52.973,-17.52,0.49056603773584906,0.9285714285714286,0.6419753086419753
SUNPHARMA,5,8.819932056410346,0.016236192128049116,136.2426952717951,11.67230462555682,46.725,7.88,0.46060606060606063,0.6972477064220184,0.5547445255474452
SUNTV,4,20.60409244720592,0.02328658501518187,764.6919223408245,27.653063525418382,52.402,-37.68,0.5098039215686274,0.46846846846846846,0.48826291079812206
SYNDIBANK,6,1.5410747611366504,0.024984592533091654,4.461192932828259,2.112153624343707,48.035,29.76,0.437125748502994,0.7448979591836735,0.5509433962264151
TATACHEM,2,7.781275586790396,0.010847852036857735,107.12858186629141,10.350293805795632,55.459,8.56,0.5607476635514018,0.5217391304347826,0.5405405405405405
